"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"37029","Pony Express","A lively, fast-paced text and soft-colored oil painting illustrations bring the excitement of the Pony Express to the reader. Although this form of mail express lasted only 18 months, it was an important step in establishing postal service to the West. A map of the Pony Express route, historical photographs, author's notes, a bibliography, and an index are included. The book can be used for enrichment for the fourth-grade California history curriculum. California setting.","Scholastic","1996",,,"Steven Kroll","Dan  Andreasen","3 thru 5","English","Narrative Nonfiction","Picture Book",,"English-Language Arts/General","History/Social Science",,
"2472","Pop's Bridge","Robert learns that all of the workers building the Golden Gate Bridge are important to the project. His father is a high-iron man, or “skywalker,” and his friend Charlie’s father is a painter. Robert secretly thinks his father’s job is more important than the painting done by Charlie’s father, but an accident causes him to realize that the bridge belongs to everyone who worked on it. Features bold, bright illustrations. California author.","Harcourt","2006",,,"Eve Bunting","C. F. Payne","3 thru 5, 6 thru 8","English","Historical Fiction","Picture Book, Read Aloud","Chinese/Chinese American, Multicultural","American History, Diversity","History/Social Science","HSS 4.1, HSS 4.4",
"36603","Poppy","When the deer mice that live in the Gray house want to move to a better location for food and shelter, they must secure permission from a powerful, controlling owl that rules Dimwood Forest. Brave Poppy and her friend Ragweed attempt to defy the owl and strike out on their own. An adventure of good versus evil ensues.","Orchard Books","1996",,,"- Avi","Brian  Floca","3 thru 5, 6 thru 8","English","Fantasy",,,"English-Language Arts/General","English-Language Arts/General ",,"California Young Reader Medal"
"38781","Por que zumban los mosquitos en los oidos de la gente: Un cuento de Africa occidental (Why Mosquitoes Buzz in People's Ears: A West African Tale)","This African folktale begins with a mosquito teasing an iguana, causing the iguana to panic. The panic is contagious, but all of the trouble is traced back to the mosquito. The African motif illustrations feature colorful, outlined pictures.","Dial Books","1998",,"Osvaldo  Blanco","Verna Aardema","Diane Dillon, Leo Dillon","K thru 2, 3 thru 5","Spanish","Nonfiction","Picture Book","African","English-Language Arts/General","English-Language Arts/General ",,"Caldecott Winner"
"2662","Porcupine Year, The","In 1852, forced by the U.S. government to leave their island, twelve-year-old Omokayas and her Ojibwe family travel in search of a new home. The family endures violent raids in the freezing winter and comes close to starvation in the search for a new home. Omokayas learns the childhood story of her bold, tough mentor, Old Tallow. The culture and way of life of the Ojibwe is woven into the story to make an engaging read. Sequel to THE BIRCHBARK HOUSE and THE GAME OF SILENCE.","HarperCollins","2008",,,"Louise Erdrich",,"3 thru 5","English","Historical Fiction",,"Native American","American History, Diversity","History/Social Science","HSS 5.8",
"16032","Porque de las cosas: Naturaleza y ciencia, El (The Picture Book of Knowledge: How Things Work)","With an easy-to-read text and illustrations, this book provides information on three areas of science: the human body, the environment, and physical science. A good, basic introduction to the three general areas of science. See other books in the Porque de las Cosas (Book of Knowledge) series.","LIBSA","2000",,"Jose Luis Tamayo and Ines Martin Jose Luis Tamayo and Ines Martin","Ines Martin (translator), Jose Luis Tamayo (translator)",,"3 thru 5","Spanish","Nonfiction",,,"Earth Science, Life Science (Biology), Physical Science (Chemistry and Physics)","Science","PS 3.1, LS 3.3, ES 3.4, PS 4.1, LS 4.2, ES 4.4",
"36961","Post Card Passages","Young Susan receives postcards from all over the world from her Great-Aunt Gladys and dreams of the day when she will be able to travel the globe. Each page is a new postcard from ""Aunt Glad"" and is illustrated with photo collages and pastels of the scenery. In the last postcard, an adult Susan tells Aunt Glad that she is off to see the world! This book is a fine enrichment selection for geography and the writing process.","Peel","1994",,,"Susan Joyce","Doug  DuBosque","3 thru 5","English","Historical Fiction","Picture Book",,"English-Language Arts/General","History/Social Science, English-Language Arts/Writing",,
"39396","Pot That Juan Built, The","This picture book biography explains how Juan Quezada rediscovered the art of pottery making practiced by the ancient Casa Grandes people of Mexico and how this discovery led to the revitalization of the village of Mata Ortiz. The left-hand pages tell the story with the cumulative pattern similar to ""The House That Jack Built,"" and the right-hand pages describe in narrative text details about Juan's life and work. Includes photographs and explanation of Quezada's work. Luminous illustrations enhance the text. Useful for learning about pottery, economics, and cultures. California author and illustrator.","Lee and Low Books","2002",,,"Nancy Andrews-Goebel","David Diaz","K thru 2, 3 thru 5, 6 thru 8","English","Narrative Nonfiction, Nonfiction, Poetry","Picture Book, Read Aloud","Latino/Latino American","English-Language Arts/General","History/Social Science, Visual and Performing Arts","HSS K.3, HSS K.4, HSS 1.4, VAPA V PreK-12.1, VAPA V PreK-12.2, VAPA V PreK-12.3, VAPA V PreK-12.4, VAPA V PreK-12.5","Pura Belpre Illustration Honor"
"16534","Prairie Builders: Reconstructing America's Lost Grasslands, The","This book tells of the success, through hard work and patience, of naturalists and volunteers who restored the native tallgrass prairie at the Neal Smith National Wildlife Refuge in central Iowa. The wide-format of the book lends itself to descriptions of the process of reintroducing prairie plants and wildlife, including the regal fritillary butterfly. Illustrated with full-color photographs, this work also includes suggested readings and Web sites for further information. This book is a part of the Scientists in the Field series.","Houghton Mifflin","2005",,,"Sneed B. Collard, III","Sneed B. Collard, III","3 thru 5, 6 thru 8","English","Nonfiction","Photo Essay",,"Life Science (Biology)","History/Social Science, Science","LS 4.3, LS 6.5",
"15377","Prairie Dogs","This well-researched, authoritative book explores the prairie dog's habitat and lifestyle while presenting evidence that their towns enrich the grass in their habitat. The book is illustrated with well-placed color photographs that include images of their neighbors and the habitat and includes a bibliography and an index.","Clarion Books","1993",,,"Dorothy Hinshaw Patent","William Munoz","3 thru 5, 6 thru 8","English","Nonfiction","Photo Essay",,"Life Science (Biology)","Science","LS 4.2, LS 4.3, LS 6.5",
